YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2013,12,84650,13995,CarGurus
2017,8,95560,16500,CarGurus
2015,10,60988,17999,CarGurus
2000,25,83424,7999,CarGurus
2008,17,227415,5995,CarGurus
2011,14,138825,9499,CARFAX
2006,19,188000,2999,CARFAX
2007,18,108667,7995,CARFAX
2014,11,41795,15498,CARFAX
2015,10,219599,7800,CARFAX
2019,6,20000,31800,Autotrader
2007,18,140525,4850,Autotrader
2017,8,104657,14955,Autotrader
2008,17,113044,8995,Autotrader
2020,5,49536,19990,Autotrader
2021,4,14000,25998,CarMax
2015,10,125000,13998,CarMax
2013,12,118000,14998,CarMax
2015,10,74000,17998,CarMax
2004,21,99000,7965,CarMax
2023,2,0,33540,Google