Timestamp,PC_or_Console,Type_of_Computer,Type_of_Console,Daily_Usage_(Hours),Video_Game_Usage_(Hours)
4/8/2025 23:55:59,PC,PC,,8,4
4/9/2025 0:05:05,PC,Laptop,,3,2
4/9/2025 8:24:30,Console,,Xbox,2,0
4/9/2025 12:13:03,PC,Desktop,,3,1
4/9/2025 12:13:15,PC,Laptop,,7,1
4/9/2025 12:23:06,PC,PC,,11,9
4/9/2025 12:58:20,PC,Laptop,,7,4
4/9/2025 17:38:17,PC,PC,,8,5
4/10/2025 11:07:40,PC,Laptop,,6,2
4/10/2025 11:16:42,PC,Laptop,,8,3
4/10/2025 11:16:43,PC,PC,,3,1
4/10/2025 11:37:44,PC,Laptop,,4,2
4/10/2025 11:44:11,Console,,Playstation,2.5,2
4/10/2025 12:01:39,PC,PC,,9,5.5
4/10/2025 12:02:15,Console,,Xbox,6,6
4/10/2025 12:03:13,PC,Desktop,,6,2
4/10/2025 12:05:21,PC,Laptop,,12,3
4/10/2025 12:07:37,PC,Laptop,,1,1
4/10/2025 12:08:13,PC,Desktop,,8,4
4/10/2025 12:09:16,PC,Desktop,,8,6
4/10/2025 12:10:33,Console,,Playstation,0,0
4/10/2025 12:10:35,Console,,Playstation,2,2
4/10/2025 12:11:15,Console,,Xbox,2,2
4/10/2025 12:12:18,Console,,Playstation,1,3
4/10/2025 12:15:14,PC,Laptop,,10,2
4/10/2025 12:16:20,PC,PC,,3,10
4/10/2025 12:19:55,PC,PC,,8,5
4/10/2025 12:25:46,PC,Desktop,,3,2
4/10/2025 12:31:50,PC,Laptop,,4,1
4/10/2025 12:34:16,PC,Laptop,,6,2
4/10/2025 12:44:53,PC,PC,,8,5
4/10/2025 12:49:53,Console,,Playstation,2,5
4/10/2025 12:54:57,Console,,Playstation,4,2
4/10/2025 13:00:17,PC,Laptop,,9,4
4/10/2025 13:07:53,Console,,Xbox,3,1
4/10/2025 13:10:43,Console,,Playstation,7,4
4/10/2025 13:31:00,Console,,Playstation,9,6
4/10/2025 14:02:51,PC,PC,,5,1
4/10/2025 14:06:35,PC,PC,,14,10
4/10/2025 14:09:32,PC,Laptop,,6,2
4/10/2025 14:13:01,Console,,Xbox,7,2
4/10/2025 14:16:23,Console,,Nintendo,3,3
4/10/2025 14:17:51,PC,Laptop,,10,5
4/10/2025 14:29:35,PC,Desktop,,6,4
4/10/2025 15:04:31,PC,Desktop,,1,4
4/10/2025 15:12:01,PC,PC,,8,6
4/10/2025 16:39:44,Console,,Xbox,2,4
4/10/2025 17:06:39,PC,Laptop,,5,1
4/10/2025 18:38:57,PC,Desktop,,10,0.5
4/10/2025 19:31:19,PC,Desktop,,10,5
4/10/2025 19:36:57,PC,Laptop,,2,3
4/10/2025 20:58:49,Console,,Playstation,10,6
4/10/2025 21:12:28,PC,PC,,3,3
4/11/2025 2:15:32,Console,,Playstation,7,3
4/11/2025 3:17:46,PC,Desktop,,6,3
4/11/2025 6:37:43,PC,Desktop,,4,2
4/11/2025 11:15:50,Console,,Playstation,4,2
4/11/2025 11:16:32,Console,,Playstation,6,1
4/11/2025 11:23:31,Console,,Playstation,1,1
4/12/2025 12:16:35,PC,PC,,4,8
4/12/2025 12:19:00,PC,Laptop,,6,2
4/13/2025 15:32:47,Console,,Nintendo,1,0.5
4/13/2025 16:58:41,PC,Laptop,,3,4
4/13/2025 18:12:07,PC,PC,,10,5
4/13/2025 18:12:18,PC,PC,,8,2
4/13/2025 18:12:29,Console,,Playstation,5,3
4/13/2025 18:12:49,Console,,Playstation,7,7
4/13/2025 18:12:59,Console,,Xbox,6,6
4/13/2025 18:13:31,PC,Laptop,,10,1
4/13/2025 18:13:43,PC,Desktop,,6,4
4/13/2025 18:13:53,PC,Desktop,,8,2
4/13/2025 18:14:47,PC,PC,,24,24
4/13/2025 18:14:53,Console,,Playstation,24,24
4/13/2025 18:15:02,PC,PC,,11,5
4/13/2025 18:15:16,Console,,Xbox,5,4
4/13/2025 18:15:24,Console,,Playstation,7,7
4/13/2025 18:15:31,Console,,Nintendo,3,3
4/13/2025 18:15:41,Console,,Xbox,9,8
4/13/2025 18:15:55,Console,,Playstation,12,12
4/13/2025 18:18:49,PC,PC,,12,3
4/13/2025 18:19:22,Console,,Playstation,5,3
4/13/2025 18:19:35,Console,,Xbox,6,6
4/13/2025 18:20:14,PC,Laptop,,5,0
4/13/2025 18:20:28,PC,PC,,6,0
4/13/2025 18:20:35,Console,,Nintendo,2,2
4/13/2025 18:20:44,PC,Desktop,,8,2
4/13/2025 18:22:08,PC,PC,,3.14159,0
4/13/2025 18:22:18,Console,,Playstation,6,6
4/13/2025 18:22:28,PC,Desktop,,22,12
4/13/2025 18:23:22,Console,,Playstation,4,4
4/13/2025 18:23:32,Console,,Playstation,7,5
4/13/2025 18:23:42,Console,,Playstation,3,3
4/13/2025 18:23:51,Console,,Nintendo,1,1
4/13/2025 18:24:04,PC,PC,,6,0.5
4/13/2025 18:24:14,PC,Desktop,,8,0
4/13/2025 18:24:59,Console,,Xbox,11,4
4/13/2025 18:26:34,PC,PC,,9,3
4/13/2025 18:26:53,PC,PC,,4,3
4/13/2025 18:27:01,PC,PC,,7,7
4/13/2025 18:27:18,PC,PC,,10,5
4/13/2025 18:27:28,PC,PC,,12,2
4/13/2025 18:28:51,PC,PC,,8,5
4/13/2025 18:29:01,PC,Laptop,,6,0
4/13/2025 18:29:09,PC,PC,,2,1
4/13/2025 18:29:17,Console,,Playstation,0,0
4/13/2025 18:30:27,Console,,Playstation,5,5
4/13/2025 18:30:39,PC,PC,,4,0
4/13/2025 18:31:11,PC,PC,,0,0
4/13/2025 18:31:35,PC,PC,,9,8
4/13/2025 18:31:45,Console,,Playstation,4,3
4/13/2025 18:32:09,Console,,Nintendo,1,1
4/13/2025 18:32:21,PC,Laptop,,5,0.5
4/13/2025 18:32:38,Console,,Playstation,8,5
4/13/2025 18:33:25,Console,,Xbox,7,4
4/13/2025 18:33:32,PC,PC,,7,4
4/13/2025 18:33:41,PC,Laptop,,12,2
4/13/2025 18:33:48,Console,,Xbox,3,2
4/13/2025 18:34:02,PC,PC,,11,5
4/14/2025 11:30:17,PC,PC,,5,3
4/14/2025 12:26:55,Console,,Playstation,2,4
4/14/2025 12:27:18,PC,Laptop,,5,1
4/14/2025 12:32:59,PC,Laptop,,8,3
4/14/2025 12:33:16,PC,PC,,9,4
4/14/2025 23:26:39,PC,PC,,4,4
4/14/2025 23:26:45,Console,,Xbox,4,4
4/14/2025 23:26:52,PC,Laptop,,2,0
4/14/2025 23:27:04,Console,,Playstation,6,6
4/14/2025 23:30:30,PC,PC,,5,2
4/14/2025 23:30:36,PC,Desktop,,8,8
4/14/2025 23:30:42,PC,Laptop,,8,2
4/14/2025 23:30:45,PC,PC,,6,2
4/14/2025 23:30:52,PC,Laptop,,3,1
4/14/2025 23:31:00,Console,,Nintendo,1,1
4/14/2025 23:31:07,Console,,Nintendo,8,3
4/14/2025 23:31:09,PC,PC,,10,4
4/14/2025 23:31:18,PC,Desktop,,7,0
4/14/2025 23:31:26,PC,PC,,2,1
4/14/2025 23:31:35,Console,,Xbox,12,10
4/14/2025 23:31:41,Console,,Nintendo,4,1
4/14/2025 23:31:49,PC,PC,,6,2
4/14/2025 23:32:30,PC,Desktop,,4,9
4/14/2025 23:32:34,PC,PC,,1,1
4/14/2025 23:32:42,Console,,Xbox,6,6
4/14/2025 23:32:49,PC,Desktop,,8,0
4/14/2025 23:32:57,PC,PC,,11,2
4/14/2025 23:33:05,PC,PC,,5,0
4/14/2025 23:33:16,PC,Laptop,,12,7
4/14/2025 23:33:22,Console,,Playstation,12,12
4/14/2025 23:33:30,Console,,Playstation,5,4
4/14/2025 23:33:39,Console,,Xbox,4,3
4/14/2025 23:33:46,Console,,Xbox,3,2
4/14/2025 23:33:53,Console,,Nintendo,2,1
4/14/2025 23:34:04,Console,,Xbox,4,10
4/14/2025 23:34:08,PC,PC,,5,1
4/14/2025 23:34:15,PC,Desktop,,4,1
4/14/2025 23:34:24,PC,PC,,3,1
4/14/2025 23:35:02,PC,Laptop,,8,4
4/14/2025 23:35:08,PC,PC,,5,5
4/14/2025 23:35:18,PC,Desktop,,8,5
4/14/2025 23:35:28,PC,PC,,4,4
4/14/2025 23:35:43,PC,PC,,12,1
4/14/2025 23:35:51,Console,,Playstation,4,4
4/14/2025 23:35:58,Console,,Xbox,3,2
4/14/2025 23:36:04,Console,,Playstation,4,2
4/14/2025 23:36:10,PC,Desktop,,6,1
4/14/2025 23:36:10,Console,,Playstation,6,5
4/14/2025 23:36:17,Console,,Playstation,6,5
4/14/2025 23:36:19,PC,Laptop,,9,2
4/14/2025 23:36:33,PC,PC,,5,7
4/14/2025 23:36:46,PC,Laptop,,8,0
4/14/2025 23:36:47,Console,,Nintendo,2,1
4/14/2025 23:36:54,PC,Laptop,,1,0
4/14/2025 23:36:56,PC,Laptop,,4,1
4/14/2025 23:37:03,PC,Laptop,,7,7
4/14/2025 23:37:06,Console,,Nintendo,1,5
4/14/2025 23:37:06,PC,PC,,17,14
4/14/2025 23:37:13,PC,Desktop,,8,0
4/14/2025 23:37:15,PC,PC,,2,2
4/14/2025 23:37:21,Console,,Playstation,12,11
4/14/2025 23:37:43,PC,PC,,3,7
4/14/2025 23:37:45,PC,PC,,11,1
4/14/2025 23:37:55,PC,PC,,3,2
4/14/2025 23:38:02,Console,,Playstation,12,12
4/14/2025 23:38:03,Console,,Xbox,3,6
4/14/2025 23:38:08,Console,,Playstation,4,4
4/14/2025 23:38:14,Console,,Xbox,4,9
4/14/2025 23:38:18,Console,,Playstation,2,2
4/14/2025 23:38:25,Console,,Nintendo,1,2
4/14/2025 23:38:36,Console,,Playstation,2,1
4/14/2025 23:38:33,Console,,Playstation,3.5,7
4/14/2025 23:38:47,PC,Laptop,,10,10
4/14/2025 23:38:48,PC,Desktop,,6,0.5
4/14/2025 23:38:49,PC,PC,,5,3
4/14/2025 23:38:58,Console,,Playstation,5,7
4/14/2025 23:38:59,PC,PC,,3,3
4/14/2025 23:39:03,PC,Laptop,,10,1
4/14/2025 23:39:05,Console,,Playstation,3,3
4/14/2025 23:39:10,PC,PC,,3,1
4/14/2025 23:39:10,Console,,Xbox,8,1
4/14/2025 23:39:11,Console,,Playstation,6,3
4/14/2025 23:39:19,Console,,Xbox,6,4
4/14/2025 23:39:38,PC,PC,,12,3
4/14/2025 23:39:46,PC,Desktop,,8,8
4/14/2025 23:40:04,PC,Desktop,,7,7
4/14/2025 23:40:14,PC,Desktop,,10,1
4/14/2025 23:40:30,PC,Laptop,,10,10
4/14/2025 23:40:31,Console,,Playstation,2,5
4/14/2025 23:40:32,PC,Laptop,,3,2
4/14/2025 23:40:39,PC,PC,,8,2
4/14/2025 23:40:40,PC,Desktop,,10,10
4/14/2025 23:40:41,PC,PC,,8,4
4/14/2025 23:40:46,PC,PC,,8,0
4/14/2025 23:40:55,PC,PC,,6,3
4/14/2025 23:41:01,PC,PC,,3,2
4/15/2025 8:16:56,Console,,Nintendo,6,3